Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Mitte,52.517689600000004,13.402375699999999,Lustgarten,52.518469490131785,13.399454063404399,Garden
Mitte,52.517689600000004,13.402375699999999,Kuppelumgang Berliner Dom,52.51896599010725,13.400980681715229,Scenic Lookout
Mitte,52.517689600000004,13.402375699999999,Radisson Blu,52.5195608,13.402857,Hotel
Mitte,52.517689600000004,13.402375699999999,"Bronzestatue ""Heiliger St. Georg im Kampf mit dem Drachen""",52.51629022223086,13.405557792008159,Outdoor Sculpture
Mitte,52.517689600000004,13.402375699999999,Designpanoptikum - surreales Museum für industrielle Objekte,52.516941,13.406072,Museum
Mitte,52.517689600000004,13.402375699999999,Deutsches Historisches Museum,52.5177881130353,13.39694770969441,History Museum
Mitte,52.517689600000004,13.402375699999999,Buchhandlung Walther König,52.52130069676686,13.40075831891714,Bookstore
Mitte,52.517689600000004,13.402375699999999,Altes Museum,52.51953741567019,13.398803472518921,History Museum
Mitte,52.517689600000004,13.402375699999999,Nikolaiviertel,52.51678234501796,13.406453132629395,Neighborhood
Mitte,52.517689600000004,13.402375699999999,Tigertörtchen,52.51714999915386,13.407926093359984,Cupcake Shop
Mitte,52.517689600000004,13.402375699999999,Nikolaikirchplatz,52.51670039311001,13.406839179328845,Plaza
Mitte,52.517689600000004,13.402375699999999,Neues Museum,52.5201576091737,13.39783787727356,History Museum
Mitte,52.517689600000004,13.402375699999999,Pierre Boulez Saal,52.51533292570581,13.396217823028564,Concert Hall
Mitte,52.517689600000004,13.402375699999999,Alte Nationalgalerie,52.520796016677,13.398673088379343,Art Museum
Mitte,52.517689600000004,13.402375699999999,Ischtar-Tor,52.520741776446705,13.397204678584995,Historic Site
Mitte,52.517689600000004,13.402375699999999,DDR Museum,52.51940384308041,13.40223855826597,History Museum
Mitte,52.517689600000004,13.402375699999999,Maxim Gorki Theater,52.51894077519612,13.39524493467083,Theater
Mitte,52.517689600000004,13.402375699999999,Schinkel Pavillion,52.51616321966491,13.396857047689211,Art Gallery
Mitte,52.517689600000004,13.402375699999999,James-Simon-Galerie,52.519736335537694,13.397366236749804,Art Gallery
Mitte,52.517689600000004,13.402375699999999,James-Simon-Park,52.52190716050168,13.399361371994019,Park
Mitte,52.517689600000004,13.402375699999999,The Greens,52.51548526539993,13.408987305491618,Café
Mitte,52.517689600000004,13.402375699999999,Capri By Fraser Berlin,52.513971925223146,13.404901686415545,Hotel
Mitte,52.517689600000004,13.402375699999999,Pergamonmuseum,52.520843,13.396395,History Museum
Mitte,52.517689600000004,13.402375699999999,Neptunbrunnen,52.51953850001971,13.4069248448423,Fountain
Mitte,52.517689600000004,13.402375699999999,Staatsoper Unter den Linden,52.517023910254956,13.394651412963867,Opera House
Mitte,52.517689600000004,13.402375699999999,Fat Tire Bike Tours,52.521232885960515,13.409109598118372,Bike Rental / Bike Share
Mitte,52.517689600000004,13.402375699999999,LUSH,52.51984357496295,13.410409304434047,Cosmetics Shop
Mitte,52.517689600000004,13.402375699999999,Hotel de Rome,52.516024880809326,13.393938200455462,Hotel
Mitte,52.517689600000004,13.402375699999999,Bebelplatz,52.51653012045096,13.393846660247611,Plaza
Mitte,52.517689600000004,13.402375699999999,Adina Apartment Hotel Berlin Hackescher Markt,52.52229341049498,13.404273310410682,Hotel
Mitte,52.517689600000004,13.402375699999999,Titus,52.52094968439927,13.405920731515282,Board Shop
Mitte,52.517689600000004,13.402375699999999,Museum für Islamische Kunst,52.520708902848284,13.396697345529542,Art Museum
Mitte,52.517689600000004,13.402375699999999,Café 93,52.52299702982836,13.399751875666775,Café
Mitte,52.517689600000004,13.402375699999999,19grams,52.52269704703948,13.407440185546875,Coffee Shop
Mitte,52.517689600000004,13.402375699999999,Hotel ZOE,52.5230950484122,13.400966433702536,Hotel
Mitte,52.517689600000004,13.402375699999999,Pergamonmuseum. Das Panorama,52.52103886374081,13.394454418375725,Exhibit
Mitte,52.517689600000004,13.402375699999999,Museum Nikolaikirche,52.516830678000645,13.40724804166411,Museum
Mitte,52.517689600000004,13.402375699999999,Dachterrasse | Hotel de Rome,52.51579461318027,13.394086388299044,Roof Deck
Mitte,52.517689600000004,13.402375699999999,Waffel oder Becher,52.521006850678695,13.403814748185349,Ice Cream Shop
Mitte,52.517689600000004,13.402375699999999,Rotisserie Weingrün,52.51262982683484,13.402928709983826,Restaurant
Mitte,52.517689600000004,13.402375699999999,Titanic Gendarmenmarkt,52.515185563305494,13.394676208772314,Hotel
Mitte,52.517689600000004,13.402375699999999,MA'LOA Poké Bowl,52.52365268563865,13.400398860752764,Poke Place
